station,coordinaten,provincie,directe verbindingen,aantal inwoners
Amsterdam Bijlmer ArenA,"52.3121° N, 4.9474° E",Noord-Holland,"Utrecht Centraal,Amsterdam Holendrecht,Amsterdam Zuid,Duivendrecht",
Hilversum,"52°13'53""N 5°09'37""E",Noord-Holland,"Naarden-Bussum,Amersfoort Centraal,Amsterdam Centraal,Baarn,Hilversum Sportpark,Duivendrecht,Hilversum Media Park",90261
Naarden-Bussum,"52.2808° N, 5.1570° E",Noord-Holland,"Bussum Zuid,Weesp,Hilversum,Almere Poort,Weesp",52020
Bussum Zuid,"52.2650° N, 5.1748° E",Noord-Holland,"Hilversum Media Park,Naarden-Bussum",
Hilversum Media Park,"52°14'11""N 5°10'20""E",Noord-Holland,"Naarden-Bussum,Hilversum",
Hilversum Sportpark,"52.2163° N, 5.1872° E",Noord-Holland,"Hilversum,Utrecht Overvecht,Hollandsche Rading",
Hollandsche Rading,"52.1771° N, 5.1854° E",Utrecht,"Hilversum,Utrecht Overvecht",1424
Maarssen,"52°08'29""N 5°03'28""E",Utrecht,"Breukelen,Rhenen,Utrecht Centraal",39363
Utrecht Zuilen,"52.1107° N, 5.0871° E",Utrecht,"Maarssen,Utrecht Centraal",
Utrecht Overvecht,"52.1180° N, 5.1080° E",Utrecht,"Bilthoven,Utrecht Centraal,Hilversum,Hilversum Sportpark",
Bilthoven,"52.1365° N, 5.2104° E",Utrecht,"Utrecht Overvecht,Den Dolder",21984
Den Dolder,"52.1391° N, 5.2428° E",Utrecht,"Soest Zuid,Bilthoven,Amersfoort Centraal",2884
Baarn,"52.2132° N, 5.2864° E",Utrecht,"Amersfoort Centraal,Soestdijk,Hilversum",24767
Soestdijk,"52.1934° N, 5.2793° E",Utrecht,"Soest,Baarn",
Soest,"52.1764° N, 5.2992° E",Utrecht,"Soestdijk,Soest Zuid",46194
Soest Zuid,"52.1604° N, 5.3032° E",Utrecht,"Soest,Den Dolder",
Utrecht Centraal,"52.0894° N, 5.1099° E",Utrecht,"Utrecht Overvecht,Utrecht Vaartsche Rijn,Driebergen-Zeist,Utrecht Leidsche Rijn,’s-Hertogenbosch,Amsterdam Bijlmer ArenA,Gouda,Amsterdam Amstel,Amersfoort Centraal,Veenendaal-De Klomp,Utrecht Zuilen,Mönchengladbach Hbf",374411
Utrecht Leidsche Rijn,"52.0954° N, 5.0457° E",Utrecht,"Woerden,Utrecht Centraal,Utrecht Terwijde",
Utrecht Terwijde,"52.1058° N, 5.0453° E",Utrecht,"Vleuten,Utrecht Centraal",
Vleuten,"52.1093° N, 5.0241° E",Utrecht,"Woerden,Utrecht Centraal",
Utrecht Vaartsche Rijn,"52°04'41""N 5°07'20""E",Utrecht,"Utrecht Lunetten,Utrecht Centraal,Bunnik",
Utrecht Maliebaan,"52°05'17""N 5°07'50""E",Utrecht,Utrecht Overvecht,
Utrecht Lunetten,"52.0645° N, 5.1315° E",Utrecht,"Houten,Utrecht Vaartsche Rijn",
Houten,"52.0030° N, 5.1858° E",Utrecht,"Houten Castellum,Utrecht Vaartsche Rijn",
Houten Castellum,"52.0170° N, 5.1794° E",Utrecht,"Driebergen-Zeist,Utrecht Vaartsche Rijn",
Bunnik,"52°03'47""N 5°11'43""E",Utrecht,"Utrecht Vaartsche Rijn,Driebergen-Zeist",
Driebergen-Zeist,"52.0653° N, 5.2604° E",Utrecht,"Maarn,Utrecht Centraal,Ede-Wageningen,Bunnik",
Maarn,"52.0655° N, 5.3769° E",Utrecht,"Driebergen-Zeist,Veenendaal West",
Veenendaal West,"52.0341° N, 5.5351° E",Utrecht,"Maarn,Veenendaal Centrum",
Veenendaal Centrum,"52.0200° N, 5.5491° E",Utrecht,"Rhenen,Maarn",
Rhenen,"51.9621° N, 5.5711° E",Utrecht,Veenendaal Centrum,
Veenendaal-De Klomp,"52.0416° N, 5.5843° E",Gelderland,"Ede-Wageningen,Utrecht Centraal",
Almere Poort,"52.3431° N, 5.1455° E",Flevoland,"Weesp,Naarden-Bussum,Almere Muziekwijk",
Almere Muziekwijk,"52.3708° N, 5.1874° E",Flevoland,"Almere Poort,Almere Centrum",
Almere Centrum,"52.3703° N, 5.2200° E",Flevoland,"Amsterdam Zuid,Amsterdam Centraal,Lelystad Centrum,Almere Muziekwijk,Almere Parkwijk,Almere Buiten",
Almere Parkwijk,"52.3749° N, 5.2496° E",Flevoland,"Almere Centrum,Almere Buiten",
Almere Buiten,"52.4024° N, 5.2588° E",Flevoland,"Almere Oostvaarders,Almere Parkwijk",
Almere Oostvaarders,"52.4030° N, 5.3002° E",Flevoland,"Almere Buiten,Lelystad Centrum",
Lelystad Centrum,"52.5185° N, 5.4714° E",Flevoland,"Almere Oostvaarders,Almere Centrum,Zwolle,Dronten",
Dronten,"52.5347° N, 5.7218° E",Flevoland,"Kampen Zuid,Lelystad Centrum",
Kampen Zuid,"52°31'58""N 5°54'50""E",Overijssel,"Zwolle,Dronten",
Kampen,"52.5580° N, 5.9145° E",Overijssel,Zwolle Stadshagen,
Zwolle Stadshagen,"52.5348° N, 6.0552° E",Overijssel,"Zwolle,Kampen",
Zwolle,"52.5168° N, 6.0830° E",Overijssel,"Kampen Zuid,Dalfsen,Raalte,Assen,Lelystad Centrum,Meppel,Wijhe,Amersfoort Centraal,Heino,Harderwijk,Zwolle Stadshagen",
Wezep,"52.4625° N, 6.0012° E",Gelderland,"Zwolle,Utrecht Centraal,Harderwijk",
’t Harde,"52.4154° N, 5.8840° E",Gelderland,"Harderwijk,Wezep",
Nunspeet,"52.3748° N, 5.7699° E",Gelderland,"Harderwijk,’t Harde",
Harderwijk,"52.3422° N, 5.6367° E",Gelderland,"Nunspeet,Ermelo",
Ermelo,"52.2987° N, 5.6296° E",Gelderland,"Putten,Harderwijk",
Putten,"52.2587° N, 5.6054° E",Gelderland,"Nijkerk,Ermelo",
Nijkerk,"52.2225° N, 5.4836° E",Gelderland,"Putten,Amersfoort Vathorst",
Amersfoort Vathorst,"52.2028° N, 5.4130° E",Utrecht,"Amersfoort Schothorst,Nijkerk,Amersfoort Centraal",
Amersfoort Schothorst,"52.1720° N, 5.3901° E",Utrecht,"Amersfoort Centraal,Amersfoort Vathorst",
Amersfoort Centraal,"52.1535° N, 5.3741° E",Utrecht,"Zwolle,Hoevelaken,Utrecht Centraal,Hilversum,Amersfoort Schothorst,Den Dolder,Apeldoorn,Baarn",
Hoevelaken,"52.1724° N, 5.4643° E",Gelderland,"Ede-Wageningen,Amersfoort Centraal,Barneveld Noord,Barneveld Zuid",
Barneveld Centrum,"52.1396° N, 5.5908° E",Gelderland,"Barneveld Noord,Barneveld Zuid",
Barneveld Noord,"52.1614° N, 5.5980° E",Gelderland,"Hoevelaken,Barneveld Centrum",
Barneveld Zuid,"52.1288° N, 5.6023° E",Gelderland,"Barneveld Centrum,Lunteren",
Lunteren,"52.0883° N, 5.6173° E",Gelderland,"Barneveld Zuid,Ede Centrum",
Ede Centrum,"52.0430° N, 5.6680° E",Gelderland,"Ede-Wageningen,Lunteren",
Ede-Wageningen,"52°01'40""N 5°40'24""E",Gelderland,"Arnhem Centraal,Wolfheze,Utrecht Centraal,Ede Centrum,Veenendaal-De Klomp",
Wolfheze,"52.0024° N, 5.7861° E",Gelderland,"Ede-Wageningen,Arnhem Centraal,Oosterbeek",
Oosterbeek,"51.9858° N, 5.8463° E",Gelderland,"Arnhem Centraal,Wolfheze",
Arnhem Centraal,"51.9849° N, 5.8990° E",Gelderland,"Arnhem Zuid,Dieren,Ede-Wageningen,Arnhem Velperpoort,Nijmegen,Elst,Zevenaar",
Arnhem Zuid,"51.9628° N, 5.8972° E",Gelderland,"Arnhem Centraal,Elst",
Arnhem Velperpoort,"51.9850° N, 5.9197° E",Gelderland,"Arnhem Centraal,Westervoort,Arnhem Presikhaaf",
Arnhem Presikhaaf,"51.9803° N, 5.9518° E",Gelderland,"Arnhem Velperpoort,Velp",
Velp,"51.9943° N, 5.9777° E",Gelderland,"Arnhem Presikhaaf,Rheden",
Rheden,"52.0057° N, 6.0280° E",Gelderland,"Dieren,Velp",
Dieren,"52.0527° N, 6.0956° E",Gelderland,"Zutphen,Arnhem Centraal,Brummen,Rheden",
Brummen,"52.0902° N, 6.1580° E",Gelderland,"Dieren,Zutphen",
Zutphen,"52.1427° N, 6.1961° E",Gelderland,"Dieren,Deventer,Voorst-Empe,Lochem,Brummen,Vorden",
Voorst-Empe,"52.1577° N, 6.1437° E",Gelderland,"Klarenbeek,Zutphen",
Klarenbeek,"52.1802° N, 6.0419° E",Gelderland,"Apeldoorn De Maten,Voorst-Empe",
Apeldoorn De Maten,"52.1928° N, 6.0042° E",Gelderland,"Klarenbeek,Apeldoorn",
Apeldoorn,"52.2112° N, 5.9699° E",Gelderland,"Amersfoort Centraal,Apeldoorn De Maten,Deventer,Apeldoorn Osseveld",
Apeldoorn Osseveld,"52.2165° N, 6.0012° E",Gelderland,"Apeldoorn,Twello",
Twello,"52.2376° N, 6.0981° E",Gelderland,"Deventer,Apeldoorn Osseveld",
Deventer,"52.2661° N, 6.1552° E",Overijssel,"Almelo,Apeldoorn,Zutphen,Deventer Colmschate,Olst,Twello,Hengelo",
Deventer Colmschate,"52.2488° N, 6.2236° E",Overijssel,"Holten,Deventer",
Holten,"52.2827° N, 6.4223° E",Overijssel,"Deventer Colmschate,Rijssen",
Rijssen,"52.3082° N, 6.5213° E",Overijssel,"Wierden,Holten",
Wijhe,"52.3880° N, 6.1350° E",Overijssel,"Olst,Zwolle",
Olst,"52.3378° N, 6.1141° E",Overijssel,"Wijhe,Deventer",
Westervoort,"51.9638° N, 5.9690° E",Gelderland,"Duiven,Arnhem Velperpoort",
Duiven,"51.9475° N, 6.0179° E",Gelderland,"Westervoort,Zevenaar",
Zevenaar,"51.9294° N, 6.0770° E",Gelderland,"Duiven,Didam,Emmerich-Elten",
Didam,"51.9412° N, 6.1299° E",Gelderland,"Zevenaar,Wehl",
Wehl,"51.9619° N, 6.2107° E",Gelderland,"Didam,Doetinchem De Heut",
Doetinchem De Heut,"51.9640° N, 6.2597° E",Gelderland,"Doetinchem,Wehl",
Doetinchem,"51.9647° N, 6.2938° E",Gelderland,"Doetinchem De Heut,Gaanderen",
Gaanderen,"51°56'19""N 6°21'32""E",Gelderland,"Doetinchem,Terborg",
Terborg,"51.9203° N, 6.3560° E",Gelderland,"Gaanderen,Varsseveld",
Varsseveld,"51.9436° N, 6.4631° E",Gelderland,"Aalten,Terborg",
Aalten,"51.9267° N, 6.5807° E",Gelderland,"Varsseveld,Winterswijk",
Winterswijk,"51.9713° N, 6.7205° E",Gelderland,"Aalten,Winterswijk",
Winterswijk West,"51.9747° N, 6.7036° E",Gelderland,"Lichtenvoorde-Groenlo,Winterswijk",
Lichtenvoorde-Groenlo,"52°00'42""N 6°35'44""E",Gelderland,"Winterswijk West,Ruurlo",
Ruurlo,"52.0870° N, 6.4491° E",Gelderland,"Lichtenvoorde-Groenlo,Vorden",
Vorden,"52.1044° N, 6.3140° E",Gelderland,"Ruurlo,Zutphen",
Glanerbrug,"52.2129° N, 6.9673° E",Overijssel,"Gronau,Enschede De Eschmarke",
Enschede De Eschmarke,"52.2176° N, 6.9605° E",Overijssel,"Glanerbrug,Enschede",
Enschede,"52.2215° N, 6.8937° E",Overijssel,"Enschede De Eschmarke,Enschede Kennispark,Hengelo",
Enschede Kennispark,"52.2375° N, 6.8388° E",Overijssel,"Hengelo,Enschede",
Hengelo Oost,"52.2688° N, 6.8191° E",Overijssel,"Hengelo,Oldenzaal",
Oldenzaal,"52°18'30""N 6°55'00""E",Overijssel,"Hengelo Oost,Bad Bentheim",
Hengelo,"52.2574° N, 6.7928° E",Overijssel,"Almelo,Enschede,Hengelo Gezondheidspark,Enschede Kennispark,Borne,Bad Bentheim,Deventer",
Hengelo Gezondheidspark,"51.7928° N, 4.6819° E",Overijssel,"Hengelo,Delden",
Delden,"52.2600° N, 6.7092° E",Overijssel,"Hengelo Gezondheidspark,Goor",
Goor,"52.2370° N, 6.5872° E",Overijssel,"Delden,Lochem",
Lochem,"52.1614° N, 6.4156° E",Gelderland,"Zutphen,Oldenzaal",
Borne,"52.3002° N, 6.7537° E",Overijssel,"Hengelo,Almelo de Riet",
Almelo de Riet,"52.3422° N, 6.6666° E",Overijssel,"Almelo,Borne",
Almelo,"52.3670° N, 6.6685° E",Overijssel,"Wierden,Deventer,Hengelo,Vriezenveen",
Wierden,"52.3583° N, 6.5939° E",Overijssel,"Nijverdal,Almelo,Rijssen",
Nijverdal,"52.3639° N, 6.4628° E",Overijssel,"Almelo,Raalte,Wierden",
Raalte,"52.3799° N, 6.2862° E",Overijssel,"Nijverdal,Zwolle,Heino",
Heino,"52.4339° N, 6.2329° E",Overijssel,"Zwolle,Raalte",
Vriezenveen,"52.4085° N, 6.6146° E",Overijssel,"Almelo,Daarlerveen",
Daarlerveen,"52°26'20""N 6°34'51""E",Overijssel,"Vroomschoop,Vriezenveen",
Vroomschoop,"52.4568° N, 6.5658° E",Overijssel,"Daarlerveen,Mariënberg",
Mariënberg,"52.5088° N, 6.5727° E",Overijssel,"Hardenberg,Ommen,Vroomschoop",
Hardenberg,"52.5754° N, 6.6167° E",Overijssel,"Mariënberg,Gramsbergen,Coevorden",
Dalfsen,"52.5078° N, 6.2597° E",Overijssel,"Ommen,Zwolle",
Ommen,"52.5248° N, 6.4263° E",Overijssel,"Dalfsen,Mariënberg",
Gramsbergen,"52.6113° N, 6.6741° E",Overijssel,"Coevorden,Hardenberg",
Coevorden,"52.6614° N, 6.7411° E",Drenthe,"Dalen,Hardenberg,Gramsbergen,Nieuw Amsterdam",
Dalen,"52.6994° N, 6.7568° E",Drenthe,"Nieuw Amsterdam,Coevorden",
Nieuw Amsterdam,"52.7145° N, 6.8632° E",Drenthe,"Coevorden,Emmen Zuid,Dalen",
Emmen Zuid,"52.7488° N, 6.8742° E",Drenthe,"Nieuw Amsterdam,Emmen",
Emmen,"52.7862° N, 6.8917° E",Drenthe,Emmen Zuid,
Meppel,"52.6921° N, 6.1937° E",Drenthe,"Zwolle,Steenwijk,Hoogeveen",
Hoogeveen,"52.7286° N, 6.4901° E",Drenthe,"Beilen,Meppel",
Beilen,"52.8599° N, 6.5146° E",Drenthe,"Assen,Hoogeveen",
Assen,"52.9928° N, 6.5642° E",Drenthe,"Beilen,Zwolle,Haren",
Haren,"53.1718° N, 6.6052° E",Groningen,"Assen,Groningen Europapark",
Steenwijk,"52.7869° N, 6.1181° E",Overijssel,"Zwolle,Wolvega,Meppel,Heerenveen",
Wolvega,"52.8766° N, 5.9959° E",Friesland,"Heerenveen,Steenwijk",
Heerenveen,"52.9606° N, 5.9205° E",Friesland,"Wolvega,Leeuwarden,Steenwijk,Akkrum",
Akkrum,"53.0494° N, 5.8341° E",Friesland,"Grou-Jirnsum,Heerenveen",
Grou-Jirnsum,"53.0903° N, 5.8224° E",Friesland,"Akkrum,Leeuwarden",
Veendam,"53.1063° N, 6.8751° E",Groningen,Zuidbroek,
Bad Nieuweschans,"53.1830° N, 7.2056° E",Groningen,"Winschoten,Weener",
Winschoten,"53.1425° N, 7.0368° E",Groningen,"Scheemda,Bad Nieuweschans",
Scheemda,"53.1764° N, 6.9724° E",Groningen,"Groningen Europapark,Winschoten,Zuidbroek",
Zuidbroek,"53.1704° N, 6.8622° E",Groningen,"Scheemda,Hoogezand-Sappemeer,Veendam",
Hoogezand-Sappemeer,"53.1638° N, 6.7559° E",Groningen,"Zuidbroek,Martenshoek",
Martenshoek,"53.1633° N, 6.7312° E",Groningen,"Hoogezand-Sappemeer,Kropswolde",
Kropswolde,"53°08'39""N 6°42'47""E",Groningen,"Groningen Europapark,Martenshoek",
Groningen,"53.2194° N, 6.5665° E",Groningen,"Groningen Europapark,Buitenpost,Groningen Noord,Assen,Zuidhorn",
Groningen Europapark,"53.2090° N, 6.5875° E",Groningen,"Haren,Groningen,Kropswolde",
Groningen Noord,"53.2301° N, 6.5563° E",Groningen,"Groningen,Sauwerd",
Sauwerd,"53.2943° N, 6.5328° E",Groningen,"Groningen Noord,Bedum,Winsum",
Delfzijl,"53.3310° N, 6.9245° E",Groningen,Delfzijl West,
Delfzijl West,"53.3320° N, 6.9065° E",Groningen,"Delfzijl,Appingedam",
Appingedam,"53.3220° N, 6.8560° E",Groningen,"Delfzijl West,Loppersum",
Loppersum,"53.3322° N, 6.7480° E",Groningen,"Appingedam,Stedum",
Stedum,"53.3223° N, 6.6933° E",Groningen,"Loppersum,Bedum",
Bedum,"53.3017° N, 6.5998° E",Groningen,"Sauwerd,Stedum",
Winsum,"53.3296° N, 6.5252° E",Groningen,"Sauwerd,Baflo",
Baflo,"53.3626° N, 6.5143° E",Groningen,"Warffum,Winsum",
Warffum,"53.3934° N, 6.5593° E",Groningen,"Baflo,Usquert",
Usquert,"53.4034° N, 6.6120° E",Groningen,"Uithuizen,Warffum",
Uithuizen,"53.4062° N, 6.6628° E",Groningen,"Uithuizenmeeden,Usquert",
Uithuizenmeeden,"53.4144° N, 6.7256° E",Groningen,"Uithuizen,Roodeschool",
Roodeschool,"53.4202° N, 6.7642° E",Groningen,Uithuizenmeeden,
Eemshaven,"53.4386° N, 6.8355° E",Groningen,Roodeschool,
Zuidhorn,"53.2431° N, 6.4081° E",Groningen,"Groningen,Grijpskerk,Feanwâlden",
Grijpskerk,"53.2636° N, 6.3064° E",Groningen,"Zuidhorn,Buitenpost",
Buitenpost,"53.2525° N, 6.1504° E",Friesland,"Grijpskerk,De Westereen,Feanwâlden,Groningen",
De Westereen,"53.2545° N, 6.0307° E",Friesland,"Feanwâlden,Buitenpost",
Feanwâlden,"53.2385° N, 5.9915° E",Friesland,"Zuidhorn,Hurdegaryp,De Westereen,Leeuwarden,Buitenpost",
Leeuwarden,"53.1965° N, 5.7930° E",Friesland,"Grou-Jirnsum,Sneek Noord,Feanwâlden,Heerenveen,Leeuwarden Camminghaburen,Mantgum,Deinum",
Hurdegaryp,"53.2149° N, 5.9410° E",Friesland,"Feanwâlden,Leeuwarden Camminghaburen",
Leeuwarden Camminghaburen,"53.2120° N, 5.8431° E",Friesland,"Hurdegaryp,Leeuwarden",
Deinum,"53.1918° N, 5.7250° E",Friesland,"Dronryp,Leeuwarden",
Dronryp,"53.1966° N, 5.6449° E",Friesland,"Franeker,Deinum",
Franeker,"53.1888° N, 5.5565° E",Friesland,"Dronryp,Harlingen",
Harlingen,"53.1746° N, 5.4252° E",Friesland,"Harlingen Haven,Leeuwarden,Franeker",
Harlingen Haven,"53.1744° N, 5.4114° E",Friesland,Harlingen,
Mantgum,"53.1291° N, 5.7206° E",Friesland,"Leeuwarden,Sneek Noord",
Sneek Noord,"53.0401° N, 5.6629° E",Friesland,"Mantgum,Sneek",
Sneek,"53.0337° N, 5.6556° E",Friesland,"Sneek Noord,IJlst",
IJlst,"53.0114° N, 5.6206° E",Friesland,"Sneek,Workum",
Workum,"52.9803° N, 5.4496° E",Friesland,"Hindeloopen,IJlst",
Hindeloopen,"52.9427° N, 5.4013° E",Friesland,"Koudum-Molkwerum,Workum",
Koudum-Molkwerum,"52°54'09""N 5°24'38""E",Friesland,"Stavoren,Hindeloopen",
Stavoren,"52.8829° N, 5.3607° E",Friesland,Koudum-Molkwerum,
Alphen aan den Rijn,"52.1247° N, 4.6576° E",Zuid-Holland,"Woerden,Boskoop,Leiden Lammenschans",
Boskoop,"52.0743° N, 4.6585° E",Zuid-Holland,"Alphen aan den Rijn,Boskoop Snijdelwijk",
Boskoop Snijdelwijk,"52.0673° N, 4.6437° E",Zuid-Holland,"Boskoop,Waddinxveen Noord",
Waddinxveen Noord,"52.0552° N, 4.6484° E",Zuid-Holland,"Boskoop Snijdelwijk,Waddinxveen",
Waddinxveen,"52.0313° N, 4.6591° E",Zuid-Holland,"Waddinxveen Noord,Waddinxveen Triangel",
Waddinxveen Triangel,"52.0271° N, 4.6490° E",Zuid-Holland,"Waddinxveen,Gouda",
